s i p u k i	s i p u j i n	no	-	-	-	s i p u l i	s i p u l i n
l ä ä k ä k i	l ä ä k ä j i n	no	-	-	-	l ä ä k ä r i	l ä ä k ä r i n
l a s p u	l a s v u n	no	-	-	-	l a s k u	l a s k u n
p o p u l i s p i	p o p u l i s v i n	no	-	-	-	p o p u l i s t i	p o p u l i s t i n
v a a p a	v a a v a n	no	-	-	-	v a a r a	v a a r a n
h u o k i	h u o j e n	no	-	-	-	h u o l i	h u o l e n
o r p a	o r v a n	no	-	-	-	o r j a	o r j a n
o p e t t a p a	o p e t t a v a n	no	-	-	-	o p e t t a j a	o p e t t a j a n
t e s t i	t e s d i n	no	-	-	-	t e s t i	t e s t i n
v a k o o k a	v a k o o  a n	no	-	-	-	v a k o o j a	v a k o o j a n
p o s t i	p o s d i n	no	-	-	-	p o s t i	p o s t i n
p ä p e	p ä r e e n	no	-	-	-	p ä r e	p ä r e e n
p u t k i s k o	p u t k i s  o n	no	-	-	-	p u t k i s t o	p u t k i s t o n
v i r k a i l i p a	v i r k a i l i v a n	no	-	-	-	v i r k a i l i j a	v i r k a i l i j a n
a h t e p i	a h t e v i n	no	-	-	-	a h t e r i	a h t e r i n
m o d e r n i s k i	m o d e r n i s  i n	no	-	-	-	m o d e r n i s m i	m o d e r n i s m i n
j u l k a i k u	j u l k a i v u n	no	-	-	-	j u l k a i s u	j u l k a i s u n
a i p e	a i h e e n	no	-	-	-	a i h e	a i h e e n
o s t a t i	o s t a d i n	no	-	-	-	o s t a r i	o s t a r i n
a s t e	a s t e e n	no	-	-	-	a s t e	a s t e e n
m a l t a	m a l d a n	no	-	-	-	m a l j a	m a l j a n
a i h e u t t a p a	a i h e u t t a v a n	no	-	-	-	a i h e u t t a j a	a i h e u t t a j a n
k u l k i p a	k u l k i v a n	no	-	-	-	k u l k i j a	k u l k i j a n
a j a t t e l i k a	a j a t t e l i j a n	no	-	-	-	a j a t t e l i j a	a j a t t e l i j a n
k u o r i k a	k u o r i v a n	no	-	-	-	k u o r i j a	k u o r i j a n
n a t k i	n a t  i n	no	-	-	-	n a t s i	n a t s i n
t a v a k a	t a v a  a n	no	-	-	-	t a v a r a	t a v a r a n
a n i t e	a n i d e n	no	-	-	-	a n i m e	a n i m e n
r o i s t o	r o i s d o n	no	-	-	-	r o i s t o	r o i s t o n
n e p o	n e v o n	no	-	-	-	n e r o	n e r o n
h a a r n i s t a	h a a r n i s d a n	no	-	-	-	h a a r n i s k a	h a a r n i s k a n
u p s e e t i	u p s e e d i n	no	-	-	-	u p s e e r i	u p s e e r i n
a z e p i	a z e v i n	no	-	-	-	a z e r i	a z e r i n
j u h l i k a	j u h l i v a n	no	-	-	-	j u h l i j a	j u h l i j a n
i m a r t e k u	i m a r t e j u n	no	-	-	-	i m a r t e l u	i m a r t e l u n
m a a h a n m u u t t a t a	m a a h a n m u u t t a d a n	no	-	-	-	m a a h a n m u u t t a j a	m a a h a n m u u t t a j a n
i h o t t u k a	i h o t t u  a n	no	-	-	-	i h o t t u m a	i h o t t u m a n
s a t i i k i	s a t i i  i n	no	-	-	-	s a t i i r i	s a t i i r i n
k o n f o r m i s p i	k o n f o r m i s v i n	no	-	-	-	k o n f o r m i s m i	k o n f o r m i s m i n
Found... p u p u
k a l i i p e p i	k a l i i p e v i n	no	-	-	-	k a l i i p e r i	k a l i i p e r i n
k a u k a t o	k a u k a d o n	no	-	-	-	k a u k a l o	k a u k a l o n
k a h p i	k a h v i n	no	-	-	-	k a h v i	k a h v i n
r u o s k e	r u o s t e e n	no	-	-	-	r u o s t e	r u o s t e e n
k e i k k a i p u	k e i k k a i v u n	no	-	-	-	k e i k k a i l u	k e i k k a i l u n
s i e p u	s i e v u n	no	-	-	-	s i e l u	s i e l u n
k o m e n t a k a	k o m e n t a j a n	no	-	-	-	k o m e n t a j a	k o m e n t a j a n
k a u k a	k a u j a n	no	-	-	-	k a u l a	k a u l a n
y l ö s n o u t u	y l ö s n o u d u n	no	-	-	-	y l ö s n o u s u	y l ö s n o u s u n
Found... i n t o
j e n k i	j e n  i n	no	-	-	-	j e n g i	j e n g i n
k a m a t a	k a m a d a n	no	-	-	-	k a m a r a	k a m a r a n
m e t o	m e d o n	no	-	-	-	m e n o	m e n o n
a p i	a v i n	no	-	-	-	a b i	a b i n
k o h p e	k o h m e e n	no	-	-	-	k o h m e	k o h m e e n
p u u s k o	p u u s  o n	no	-	-	-	p u u s t o	p u u s t o n
k r i i t i	k r i i d i n	no	-	-	-	k r i i s i	k r i i s i n
p s y k i a t p i	p s y k i a t v i n	no	-	-	-	p s y k i a t r i	p s y k i a t r i n
p a r t i k k e p i	p a r t i k k e v i n	no	-	-	-	p a r t i k k e l i	p a r t i k k e l i n
m u u t t u t a	m u u t t u d a n	no	-	-	-	m u u t t u j a	m u u t t u j a n
t u o m a t i	t u o m a d i n	no	-	-	-	t u o m a r i	t u o m a r i n
k u t i k a	k u t i v a n	no	-	-	-	k u t i n a	k u t i n a n
